pair,timestep,actual,prediction
EEGNet,2549,6,0
EEGNet,2550,6,0
EEGNet,2551,6,0
EEGNet,2552,6,0
EEGNet,2553,6,0
EEGNet,2554,6,0
EEGNet,2555,6,0
EEGNet,2556,6,0
EEGNet,2557,6,0
EEGNet,2558,6,0
EEGNet,2559,6,0
EEGNet,2560,6,0
EEGNet,2561,6,0
EEGNet,2562,6,0
EEGNet,2563,6,0
EEGNet,2564,6,0
EEGNet,2565,6,7
EEGNet,2566,0,1
EEGNet,2567,0,1
EEGNet,2568,0,6
EEGNet,2569,0,6
EEGNet,2570,0,6
EEGNet,2571,7,6
EEGNet,2572,7,6
EEGNet,2573,7,6
EEGNet,2574,7,6
EEGNet,2575,7,6
EEGNet,2576,7,6
EEGNet,2577,7,6
EEGNet,2578,7,6
EEGNet,2579,7,6
EEGNet,2580,7,6
EEGNet,2581,7,6
EEGNet,2582,7,6
EEGNet,2583,7,6
EEGNet,2584,7,6
EEGNet,2585,7,6
EEGNet,2586,7,6
EEGNet,2587,7,5
EEGNet,2588,7,5
EEGNet,2589,7,5
EEGNet,2590,7,5
EEGNet,2591,7,5
EEGNet,2592,7,5
EEGNet,2593,7,5
EEGNet,2594,7,5
EEGNet,2595,7,5
EEGNet,2596,7,5
EEGNet,2597,0,5
EEGNet,2598,0,5
EEGNet,2599,0,5
EEGNet,2600,0,5
EEGNet,2601,0,6
EEGNet,2602,0,5
EEGNet,2603,0,0
EEGNet,2604,0,5
EEGNet,2605,7,0
EEGNet,2606,7,0
EEGNet,2607,7,0
EEGNet,2608,7,1
EEGNet,2609,7,0
EEGNet,2610,7,0
EEGNet,2611,7,0
EEGNet,2612,7,1
EEGNet,2613,7,0
EEGNet,2614,7,1
EEGNet,2615,7,0
EEGNet,2616,7,0
EEGNet,2617,7,1
EEGNet,2618,7,1
EEGNet,2619,7,1
EEGNet,2620,7,1
EEGNet,2621,7,1
EEGNet,2622,7,1
EEGNet,2623,7,1
EEGNet,2624,7,1
EEGNet,2625,7,1
EEGNet,2626,7,1
EEGNet,2627,7,1
EEGNet,2628,0,1
EEGNet,2629,0,1
EEGNet,2630,0,1
EEGNet,2631,0,1
EEGNet,2632,5,1
EEGNet,2633,5,1
EEGNet,2634,5,1
EEGNet,2635,5,1
EEGNet,2636,5,1
EEGNet,2637,5,1
EEGNet,2638,5,1
EEGNet,2639,5,1
EEGNet,2640,5,1
EEGNet,2641,5,1
EEGNet,2642,5,1
EEGNet,2643,5,1
EEGNet,2644,5,1
EEGNet,2645,5,1
EEGNet,2646,5,1
EEGNet,2647,5,7
EEGNet,2648,5,7
EEGNet,2649,5,7
EEGNet,2650,5,7
EEGNet,2651,5,7
EEGNet,2652,0,7
EEGNet,2653,0,7
EEGNet,2654,0,6
EEGNet,2655,0,6
EEGNet,2656,1,6
EEGNet,2657,1,6
EEGNet,2658,1,6
EEGNet,2659,1,6
EEGNet,2660,1,6
EEGNet,2661,1,6
EEGNet,2662,1,6
EEGNet,2663,1,6
EEGNet,2664,1,6
EEGNet,2665,1,6
EEGNet,2666,1,7
EEGNet,2667,1,6
EEGNet,2668,1,7
EEGNet,2669,1,7
EEGNet,2670,1,7
EEGNet,2671,1,7
EEGNet,2672,1,7
EEGNet,2673,1,6
EEGNet,2674,1,7
EEGNet,2675,1,7
EEGNet,2676,1,7
EEGNet,2677,1,7
EEGNet,2678,1,7
